"D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.DiabetesT2","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.Thrombosis","D.GI.Discomfort.Burping","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Nausea","D.GI.Discomfort.Pain","D.GI.Discomfort.Unwell","D.GI.FGID.Bloating","D.GI.Gallstones","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.IBS.Any","D.GI.IBS.TypeD","D.GI.IBS.TypeM","D.GI.Stomach.Ulcer","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Other.Rheumatoid.Arthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","General Health"
"s__Bifidobacterium_adolescentis","","","","-","","","","","","-","","","","","","","-","","-","","","","","","-","","","","","","","-","-","","+"
"s__Bifidobacterium_dentium","","","+","+","","","","","","","","","","","","","+","","","","","","","","","","","","+","","","","+","","-"
"s__Bifidobacterium_longum","","","","","","","","","","","","","","","","","-","","-","","","","","","-","","","","","","","","-","",""
"s__Eggerthella_lenta","","","","","","","","","","","","","","+","","","","","","","+","+","","","","","","","","","","","","","-"
"s__Eggerthella_unclassified","","","","","+","","","","","+","+","+","","+","","+","+","+","","","","","","","+","","","","+","","","","+","+","-"
"s__Bacteroidales_bacterium_ph8","","","","-","","","","","","","","","","","","-","","","","","","-","","","","","","","","","","","","","+"
"s__Barnesiella_intestinihominis","","","-","","","","","","","","","","","","-","","","","","","","","","","","","","","-","","","","","","+"
"s__Paraprevotella_clara","","","-","-","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","-",""
"s__Paraprevotella_unclassified","-","","-","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","-","+"
"s__Prevotella_copri","","-","-","","-","-","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","+"
"s__Alistipes_senegalensis","","-","","-","-","","","","","","-","-","","","","-","-","-","","","","-","","","-","","","-","-","","","","-","","+"
"s__Streptococcus_parasanguinis","","+","","+","","","","+","+","+","+","","","","","","+","","","+","","","+","","+","","","","","+","+","","","","-"
"s__Streptococcus_salivarius","","+","","","","","","+","+","","","","","","","","","","","+","","","","","","","","","","","","","","","-"
"s__Clostridium_asparagiforme","+","","","+","","+","","","","+","+","+","+","+","","","+","","","+","+","+","+","+","+","+","","+","","","","+","+","","-"
"s__Clostridium_bolteae","+","","+","+","","+","","","","+","+","+","+","+","","+","+","+","","","+","","","+","","","","","","","","","","","-"
"s__Clostridium_citroniae","","","","+","","","","+","","","+","+","","+","","","+","+","","","","","","","","","","+","","","","","","","-"
"s__Clostridium_hathewayi","","","","+","","","","","","","","","","","","+","","","","","","","","+","","","","","","","","","","","-"
"s__Clostridium_leptum","","","","","","","","","","","+","","","","","","","","","","","","","","+","","+","","","+","","","","","-"
"s__Flavonifractor_plautii","+","","","+","","+","+","","","+","+","+","","+","","","+","","+","","+","+","+","","+","","","","+","","","","","+","-"
"s__Pseudoflavonifractor_capillosus","+","","","","+","","","","","","","","","","","","","","","","","","","","","","","","+","","","","+","+","-"
"s__Eubacterium_rectale","","","","-","","","","","","-","","-","","","-","","-","","","","","","","","","","","","","","","","","",""
"s__Ruminococcus_gnavus","","","+","+","","","","+","","+","+","+","","+","+","","+","+","","","","+","","","","","","","","","","","","","-"
"s__Ruminococcus_torques","","","","+","","","","","","+","+","","","","","","","","","","","","","","","","","","","","","","","","-"
"s__Butyrivibrio_crossotus","","","","-","","","-","-","","","-","","","","","","-","","-","","","","","","-","","","","-","-","","-","-","","+"
"s__Dorea_longicatena","","","","-","","","","","","","","-","","","","","","","","","","-","","","","-","","","","","","-","-","-","+"
"s__Lachnospiraceae_bacterium_1_1_57FAA","","","","","","","","","","+","+","+","","","","","","","","","","","","","","","","","","","","+","","",""
"s__Lachnospiraceae_bacterium_8_1_57FAA","","","+","","","","","","","+","+","","","","","","","","","","","","","","","","","","","","","","","","-"
"s__Oscillibacter_unclassified","","","","","","","","","","","","","","","-","","","","","","","","","","+","+","+","","","","","","+","","-"
"s__Anaerotruncus_colihominis","","","","+","","","","","","","+","+","+","+","","","+","","","","+","","","","","","","","","","","","","","-"
"s__Anaerotruncus_unclassified","","","","+","","","","","","","","","","","","","","","","","","+","","+","","","","","","","","","","","-"
"s__Faecalibacterium_prausnitzii","","","","-","","","","","","-","-","-","","-","-","","-","-","","","","","-","","","","","","-","","-","-","","","+"
"s__Ruminococcaceae_bacterium_D16","+","","","","","","+","+","","","","+","","","","+","","","","","","+","","","","","+","","+","+","","","","+","-"
"s__Subdoligranulum_unclassified","","","","-","","","","","","-","-","-","-","","-","-","-","","","","","","","","","","","","-","","","","","","+"
"s__Holdemania_filiformis","","+","","","+","","","","","","+","+","","","","","+","","+","","","","","","+","+","","","","","","","","+","-"
"s__Holdemania_unclassified","","","","","","","","","","+","+","+","","","","","+","","","","","","","","+","","","","","","","","","",""
"s__Mitsuokella_unclassified","","","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"s__Veillonella_atypica","","","","","","","","+","","+","+","+","","","","","+","+","","","","","","+","","","","","","","","","","",""
"s__Veillonella_parvula","","+","","","","","","","","","","","","","","","","+","","+","","","","","","","","","","","","","+","","-"
"s__Desulfovibrio_piger","","","","","-","","","","","","","","","","","","-","-","","","","","","","-","","","-","","","","-","","","+"
"s__Alistipes_shahii","","","","-","-","","","","","","","","","","","","","","-","","","-","","","","","","","","","","","","","+"
