"Birth Length","Birth Mode","Birth Weight","Breastfed 0-4 W","Breastfed 1-3 M","Breastfed 3-6 M","Breastfed 6M+","Pregnant Mother Smoking","Preterm Birth","Childhood Urbanicity","Childhood Parents Smoking","Childhood Pets","Childhood Pets Dog","Childhood Pets Cat"
"s__Methanobrevibacter_smithii","","","","","","","","","","","","","",""
"s__Methanobrevibacter_unclassified","","","","","","","","","","","","","",""
"s__Rothia_mucilaginosa","","","","","","","","","","","","","",""
"s__Bifidobacterium_adolescentis","","","","","","-","","","","+","","","",""
"s__Bifidobacterium_longum","","","","","","","","","","+","","","",""
"s__Bacteroides_caccae","","","","","+","","","","","","","","",""
"s__Bacteroides_cellulosilyticus","","","","","","","","","","-","","","",""
"s__Bacteroides_coprocola","-","","","","","","","","","","","","",""
"s__Bacteroides_coprophilus","","","","","","","","","","+","","","",""
"s__Bacteroides_dorei","","","","","","","","+","","","","","",""
"s__Bacteroides_eggerthii","","","+","","","","","","","","","","",""
"s__Bacteroides_finegoldii","","","","","","","","","","-","","","",""
"s__Bacteroides_ovatus","","","","","","","","","","-","","","",""
"s__Bacteroides_salyersiae","","","","","","","","","","-","","","",""
"s__Bacteroides_stercoris","","","","","","","","","","","+","","",""
"s__Prevotella_copri","","+","","","","","","","","","-","","",""
"s__Alistipes_finegoldii","","","","","","","","","","","","-","-",""
"s__Alistipes_indistinctus","","","","","","","","","","-","","","",""
"s__Alistipes_onderdonkii","","","","","","","","","","-","","","",""
"s__Alistipes_unclassified","","","","","","+","","","","","","","",""
"s__Lactobacillus_delbrueckii","","","","","","","","","","","","-","-",""
"s__Flavonifractor_plautii","","","","","","","","","","-","","","",""
"s__Pseudoflavonifractor_capillosus","","","","","","","-","","","","","","",""
"s__Anaerostipes_hadrus","","","","","","","","","","-","","","",""
"s__Ruminococcus_gnavus","","","","","","","","","","-","","","",""
"s__Butyrivibrio_crossotus","","","+","","","","","","","+","","","",""
"s__Coprococcus_catus","","","","","+","","","","","","","","",""
"s__Lachnospiraceae_bacterium_7_1_58FAA","","","","","","","","","","","+","","",""
"s__Roseburia_unclassified","","","","","","","","","","+","","","",""
"s__Oscillibacter_unclassified","","","-","","","","","","","","+","","",""
"s__Anaerotruncus_unclassified","","","","","","","","","","-","","","",""
"s__Faecalibacterium_prausnitzii","","","","","","","","","","+","","","",""
"s__Erysipelotrichaceae_bacterium_21_3","","","","","","","-","","","","","","",""
"s__Acidaminococcus_unclassified","","","","","","","","+","","","+","","",""
"s__Dialister_invisus","","","","","","","","","","-","","","","-"
"s__Megasphaera_unclassified","","","","","","","","","","+","","","",""
"s__Mitsuokella_multacida","","","","","","","","","","+","","","",""
"s__Veillonella_parvula","","","","","","","","","","","-","","",""
"s__Veillonella_unclassified","","","","","","","","","","","-","","",""
"s__Burkholderiales_bacterium_1_1_47","","","","","","","","","","-","","","",""
"s__Parasutterella_excrementihominis","","","","","","","","","","-","","","",""
"s__Sutterella_wadsworthensis","","","","","","","","","","-","","","",""
"s__Bilophila_unclassified","","","","","","","","","","-","","","",""
"s__Bilophila_wadsworthia","","","","","","","","","","-","","-","","-"
"s__Desulfovibrio_desulfuricans","","","","","","","","","","-","","","",""
"s__Desulfovibrio_piger","","","","","","","","","","+","","","",""
"s__Haemophilus_parainfluenzae","","","","","","","+","","","","-","","",""
"s__Phascolarctobacterium_succinatutens","","","","","","","","","","+","","","",""
"s__Mitsuokella_unclassified","","","","","","","","","","+","","","",""
"s__Parabacteroides_goldsteinii","","","","","","","","","","-","","","",""
