"Greenspace NDVI","Pet ownership","Pet ownership Cat","Per ownership Dog","NO2 Concentration","PM2.5 Concentration","Smoking Passive","Smoking Active","Smoker Active, 1 Year+","Smoker, Stopped","Urbanicity","General Health"
"s__Methanobrevibacter_unclassified","","","","","","-","","","","","",""
"s__Rothia_mucilaginosa","","","","","","","","-","-","","",""
"s__Eggerthella_lenta","","","","","","","","+","","","","-"
"s__Eggerthella_unclassified","-","","","","","","","+","","","","-"
"s__Bacteroides_caccae","","","","","-","","","","","","","+"
"s__Bacteroides_coprophilus","+","","","+","-","-","","","","","",""
"s__Bacteroides_eggerthii","+","","","","","-","","","","","","+"
"s__Bacteroides_fragilis","-","","","","+","+","","","","","-","-"
"s__Bacteroides_plebeius","+","+","+","+","","-","","","","","",""
"s__Bacteroides_salyersiae","","","","","+","","","","","","-",""
"s__Bacteroides_xylanisolvens","+","","","","-","","","","","","",""
"s__Barnesiella_intestinihominis","","","","","","","","-","","","","+"
"s__Paraprevotella_xylaniphila","","+","","+","","","","","","","",""
"s__Prevotella_copri","","+","+","+","","","","","","","","+"
"s__Alistipes_finegoldii","","-","","-","","","","-","","","",""
"s__Alistipes_onderdonkii","","-","","-","","","","","","","",""
"s__Alistipes_shahii","","","","","","","","-","","","","+"
"s__Lactobacillus_delbrueckii","","","","","","","","-","-","","",""
"s__Streptococcus_salivarius","","","","","","","","-","","","","-"
"s__Clostridium_bolteae","-","","","","","","","+","+","","","-"
"s__Flavonifractor_plautii","-","","","","","","+","+","+","","","-"
"s__Pseudoflavonifractor_capillosus","","","","","","","+","+","+","","","-"
"s__Eubacterium_eligens","","","","","","","-","-","","","","+"
"s__Eubacterium_rectale","","-","","-","","","","","","","",""
"s__Ruminococcus_gnavus","","","","","","","","+","+","","","-"
"s__Ruminococcus_torques","","","","","","","","+","","","","-"
"s__Butyrivibrio_crossotus","","","","","","","","-","","","","+"
"s__Coprococcus_catus","","","","","","","","-","-","","",""
"s__Coprococcus_eutactus","","-","","-","","","","","","","",""
"s__Roseburia_hominis","","-","","","","","-","-","-","","","+"
"s__Roseburia_intestinalis","","","","","","","","+","+","","",""
"s__Roseburia_unclassified","","","","","","-","","","","","+",""
"s__Oscillibacter_unclassified","","","","","","","+","+","+","","","-"
"s__Anaerotruncus_colihominis","-","","","","","","","+","+","","","-"
"s__Anaerotruncus_unclassified","","","","","","","","+","+","","","-"
"s__Faecalibacterium_prausnitzii","","","","","","","-","-","-","","","+"
"s__Ruminococcaceae_bacterium_D16","","+","","","","","+","+","+","","","-"
"s__Subdoligranulum_unclassified","","","","-","","","-","-","-","","","+"
"s__Acidaminococcus_unclassified","","","","","","","+","+","","","","-"
"s__Phascolarctobacterium_succinatutens","+","","","","-","","","","","","+",""
"s__Mitsuokella_multacida","+","+","+","+","-","","","","","","+",""
"s__Mitsuokella_unclassified","+","+","+","","-","","","","-","","+",""
"s__Veillonella_parvula","","","","","","","","-","","","","-"
"s__Veillonella_unclassified","","","","","","","-","-","-","","",""
"s__Burkholderiales_bacterium_1_1_47","","","","","+","+","","","","","-",""
"s__Oxalobacter_formigenes","","","","","","","-","-","-","","","+"
"s__Bilophila_wadsworthia","-","-","","-","+","","","","","","-",""
"s__Desulfovibrio_piger","+","+","","+","-","-","","","","","","+"
"s__Haemophilus_parainfluenzae","","","","","","","-","-","-","","",""
"s__Akkermansia_muciniphila","","","","","","","","-","","","","+"
