"meanTaxa","sdTaxa"
"k__Bacteria.p__Actinobacteria",0.0315629902785882,0.043366929074889
"k__Bacteria.p__Bacteroidetes",0.607384288853226,0.175030491267122
"k__Bacteria.p__Candidatus_Saccharibacteria",3.54106707725878e-07,1.34622206509759e-05
"k__Bacteria.p__Firmicutes",0.249261952910462,0.15051026988348
"k__Bacteria.p__Fusobacteria",2.20643909662131e-05,0.000799081931246445
"k__Bacteria.p__Proteobacteria",0.0889291268003405,0.0905174376133465
"k__Bacteria.p__Spirochaetes",0.000242680638457338,0.00741113375480534
"k__Bacteria.p__Synergistetes",4.17341669545941e-05,0.00136991364629014
"k__Bacteria.p__Tenericutes",1.3125995047796e-05,0.000193173229571679
"k__Bacteria.p__Verrucomicrobia",0.0224863115656593,0.0447225771563307
"k__Archaea.p__Euryarchaeota",5.53702935907822e-05,0.00113306375223463
